Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Arsenal,30,38.0,580,356,291,204,85,171,509,33.6,338,4885,1526,31.2,1707,1993,1185,548,117,6,431,355,935,667,12
Bournemouth,22,38.0,471,273,262,142,67,165,492,33.5,327,5301,1330,25.1,1843,2385,1073,667,163,5,504,308,779,870,5
Brighton,24,38.0,573,369,362,174,37,174,586,29.7,412,5080,1301,25.6,2116,2127,837,663,190,7,473,345,918,863,18
Burnley,24,38.0,475,300,274,158,43,182,553,32.9,371,5801,1468,25.3,2225,2422,1154,729,208,6,521,381,856,860,4
Chelsea,26,38.0,620,378,327,228,65,214,530,40.4,316,5247,1581,30.1,2049,2179,1019,554,120,2,434,321,941,654,12
Crystal Palace,28,38.0,624,355,378,198,48,208,545,38.2,337,5245,1446,27.6,2113,2257,875,677,129,5,548,424,1048,828,18
Everton,30,38.0,621,368,359,188,74,203,572,35.5,369,5541,1470,26.5,2147,2228,1166,680,167,5,513,396,1017,856,11
Huddersfield,25,38.0,691,395,325,287,79,200,597,33.5,397,5269,1558,29.6,1873,2309,1087,678,131,6,547,450,1141,823,14
Leicester City,27,38.0,609,374,342,209,58,165,557,29.6,392,4873,1391,28.5,1977,1895,1001,674,142,4,532,365,974,760,6
Liverpool,27,38.0,575,372,268,214,93,169,494,34.2,325,5709,1829,32.0,1733,2555,1421,534,75,2,459,380,955,641,9
Manchester City,25,38.0,496,311,227,185,84,170,502,33.9,332,4162,1384,33.3,1196,1665,1301,474,61,3,413,324,820,402,4
Manchester Utd,27,38.0,496,330,257,164,75,155,517,30.0,362,5533,1456,26.3,2037,2354,1142,583,128,2,455,407,903,634,11
Newcastle Utd,27,38.0,603,351,336,204,63,180,560,32.1,380,5211,1316,25.3,2027,2187,997,734,136,6,598,394,997,918,7
Southampton,26,38.0,631,393,354,209,68,180,552,32.6,372,4795,1421,29.6,1907,1846,1042,664,149,3,515,412,1043,718,12
Stoke City,30,38.0,619,354,356,204,59,197,540,36.5,343,4881,1242,25.4,2020,2030,831,638,153,4,485,381,1000,888,18
Swansea City,26,38.0,567,354,299,197,71,170,492,34.6,322,5590,1494,26.7,2188,2295,1107,603,138,1,465,343,910,765,13
Tottenham,25,38.0,576,359,269,221,86,180,515,35.0,335,4980,1612,32.4,1509,2090,1381,533,89,2,444,347,923,597,8
Watford,29,38.0,596,358,316,219,61,190,540,35.2,350,5010,1454,29.0,1815,2174,1021,557,102,3,455,406,1002,741,11
West Brom,24,38.0,547,350,322,171,54,176,564,31.2,388,5327,1416,26.6,2177,2203,947,614,160,2,454,431,978,822,17
West Ham,27,38.0,563,347,322,177,64,180,546,33.0,366,5504,1492,27.1,2349,2175,980,633,156,3,477,422,985,715,13
