Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Arsenal,30,38.0,20134,24284,82.9,381241,119499,8101,9213,87.9,8936,10169,87.9,2697,4026,67.0,61,45.8,+13.2,442,1754,505,67,1842
Bournemouth,22,38.0,12989,17396,74.7,251974,89378,5220,6228,83.8,5585,6829,81.8,1912,3553,53.8,36,29.7,+6.3,341,971,304,74,1235
Brighton,24,38.0,11633,15928,73.0,245486,88614,4288,5192,82.6,4890,6046,80.9,2215,4041,54.8,25,22.6,+2.4,271,891,194,70,978
Burnley,24,38.0,10292,15104,68.1,221714,88723,3830,4794,79.9,4268,5544,77.0,1998,4189,47.7,26,23.2,+2.8,279,936,216,87,930
Chelsea,26,38.0,18298,22281,82.1,357771,112359,6969,7940,87.8,8331,9493,87.8,2676,4060,65.9,42,40.0,+3.0,470,1457,416,83,1717
Crystal Palace,28,38.0,11440,15649,73.1,224080,88805,4681,5568,84.1,4730,5846,80.9,1717,3477,49.4,26,30.3,-4.3,320,1019,276,59,1154
Everton,30,38.0,11770,16304,72.2,241244,90644,4592,5510,83.3,4868,6057,80.4,2029,3985,50.9,26,22.8,+3.2,261,1053,213,75,1013
Huddersfield,25,38.0,11701,16338,71.6,233641,85379,4752,5785,82.1,4739,6023,78.7,1953,3809,51.3,19,22.6,-3.6,248,894,189,78,959
Leicester City,27,38.0,11879,16501,72.0,241337,88360,4700,5726,82.1,4829,6083,79.4,2080,3976,52.3,38,29.8,+8.2,281,1031,235,71,1046
Liverpool,27,38.0,19782,24175,81.8,389462,120063,7171,8206,87.4,9467,10721,88.3,2804,4458,62.9,58,49.4,+8.6,474,1703,491,79,1872
Manchester City,25,38.0,25336,29020,87.3,460637,129492,10813,11823,91.5,11314,12466,90.8,2789,3857,72.3,85,56.5,+27.5,491,2046,561,72,2018
Manchester Utd,27,38.0,17317,21333,81.2,319442,103773,7663,8580,89.3,6937,8048,86.2,2254,3751,60.1,53,42.0,+11.0,379,1323,371,82,1471
Newcastle Utd,27,38.0,10705,15123,70.8,212049,83988,4444,5424,81.9,4297,5445,78.9,1724,3591,48.0,29,27.4,+1.6,307,895,233,89,978
Southampton,26,38.0,14035,18653,75.2,276174,94407,5694,6662,85.5,5955,7207,82.6,2136,4095,52.2,23,29.4,-6.4,330,1191,286,93,1301
Stoke City,30,38.0,9767,14075,69.4,204243,85488,3794,4774,79.5,3986,5135,77.6,1785,3551,50.3,28,26.4,+2.6,284,964,239,61,977
Swansea City,26,38.0,12836,16882,76.0,257341,88825,5160,5982,86.3,5220,6291,83.0,2173,3904,55.7,20,18.1,+0.9,217,1033,206,62,1021
Tottenham,25,38.0,18720,23034,81.3,370020,117295,6979,7983,87.4,8605,9883,87.1,2822,4364,64.7,51,47.5,+3.5,454,1677,410,82,1820
Watford,29,38.0,12376,17044,72.6,244357,91429,5192,6212,83.6,4928,6281,78.5,2000,3803,52.6,27,27.7,-0.7,307,1082,295,82,1186
West Brom,24,38.0,10150,14464,70.2,212079,85578,3894,4729,82.3,4231,5364,78.9,1834,3746,49.0,24,22.8,+1.2,272,931,240,105,930
West Ham,27,38.0,11479,15763,72.8,225844,83738,4881,5760,84.7,4498,5639,79.8,1843,3671,50.2,29,24.1,+8.9,273,938,236,75,952
