Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG
Arsenal,29,31.0,579,18.68,436,31,37,28,38,9,75,2.42,51,2,7,6,8,1,0
Aston Villa,21,30.0,668,22.27,481,62,42,31,41,11,75,2.50,55,6,1,5,5,3,0
Brighton,26,31.0,627,20.23,470,53,25,37,30,12,50,1.61,37,4,0,4,5,0,0
Burnley,24,31.0,446,14.39,316,51,17,22,30,10,33,1.06,19,4,3,3,3,1,0
Chelsea,27,31.0,771,24.87,574,73,34,37,38,15,83,2.68,55,7,5,6,9,1,0
Crystal Palace,22,31.0,414,13.35,298,37,30,10,31,8,56,1.81,39,5,4,2,5,1,0
Everton,29,30.0,479,15.97,349,47,25,19,31,8,69,2.30,46,7,2,10,4,0,0
Fulham,26,32.0,614,19.19,457,54,40,23,29,11,42,1.31,29,3,5,2,2,1,0
Leeds United,22,31.0,673,21.71,507,55,35,36,24,16,86,2.77,65,4,6,6,4,1,0
Leicester City,27,31.0,594,19.16,430,34,36,32,35,27,89,2.87,62,2,6,6,9,4,0
Liverpool,28,31.0,715,23.06,541,48,39,40,35,12,68,2.19,46,4,4,9,4,1,0
Manchester City,23,32.0,826,25.81,605,49,73,38,36,25,108,3.38,72,3,14,10,5,4,0
Manchester Utd,25,31.0,716,23.10,522,62,33,40,42,17,98,3.16,68,7,3,8,9,3,0
Newcastle Utd,27,31.0,485,15.65,324,63,28,16,38,16,51,1.65,38,3,2,2,5,1,0
Sheffield Utd,25,31.0,398,12.84,302,33,25,16,13,9,21,0.68,12,2,1,3,3,0,0
Southampton,29,31.0,498,16.06,339,44,37,25,39,14,66,2.13,38,5,7,5,8,3,0
Tottenham,24,31.0,554,17.87,383,42,38,27,49,15,92,2.97,69,6,6,4,5,2,0
West Brom,30,31.0,407,13.13,296,40,25,18,22,6,50,1.61,36,3,1,3,4,3,0
West Ham,24,31.0,568,18.32,393,63,25,41,40,6,81,2.61,51,11,0,13,6,0,0
Wolves,26,31.0,605,19.52,403,60,53,33,41,15,48,1.55,24,4,7,8,5,0,0
