Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,29,31.0,41,362,113,31.2,11.68,3.65,0.10,0.31,16.9,19,6,6,43.5,39.0,0.11,-2.5,-4.0
Aston Villa,21,30.0,41,405,142,35.1,13.50,4.73,0.09,0.27,16.2,11,3,4,42.5,39.5,0.10,-1.5,-1.5
Brighton,26,31.0,32,392,107,27.3,12.65,3.45,0.07,0.25,16.2,12,5,8,43.0,36.9,0.10,-11.0,-9.9
Burnley,24,31.0,24,303,99,32.7,9.77,3.19,0.07,0.22,16.9,14,2,2,30.7,29.2,0.10,-6.7,-7.2
Chelsea,27,31.0,48,450,159,35.3,14.52,5.13,0.09,0.26,16.4,13,7,9,50.9,44.0,0.10,-2.9,-3.0
Crystal Palace,22,31.0,31,262,95,36.3,8.45,3.06,0.11,0.29,16.9,13,3,3,24.2,22.1,0.08,+6.8,+5.9
Everton,29,30.0,40,294,114,38.8,9.80,3.80,0.13,0.32,16.3,10,3,3,36.7,34.5,0.12,+3.3,+2.5
Fulham,26,32.0,23,376,109,29.0,11.75,3.41,0.06,0.19,17.3,10,2,5,35.4,32.4,0.09,-12.4,-11.4
Leeds United,22,31.0,47,431,158,36.7,13.90,5.10,0.10,0.28,16.1,8,3,3,46.2,43.9,0.10,+0.8,+0.1
Leicester City,27,31.0,51,368,131,35.6,11.87,4.23,0.12,0.33,18.0,15,8,10,45.2,37.6,0.10,+5.8,+5.4
Liverpool,28,31.0,50,466,157,33.7,15.03,5.06,0.09,0.28,16.4,16,6,6,56.6,52.1,0.11,-6.6,-8.1
Manchester City,23,32.0,66,498,183,36.7,15.56,5.72,0.12,0.33,16.6,16,5,8,62.8,56.7,0.12,+3.2,+4.3
Manchester Utd,25,31.0,58,424,167,39.4,13.68,5.39,0.12,0.30,17.3,15,8,9,49.1,42.3,0.10,+8.9,+7.7
Newcastle Utd,27,31.0,31,313,102,32.6,10.10,3.29,0.09,0.26,17.5,20,4,4,30.3,27.3,0.09,+0.7,-0.3
Sheffield Utd,25,31.0,16,256,79,30.9,8.26,2.55,0.05,0.16,16.8,3,3,4,26.0,22.9,0.09,-10.0,-9.9
Southampton,29,31.0,39,333,123,36.9,10.74,3.97,0.11,0.28,17.7,17,4,5,33.3,29.6,0.09,+5.7,+5.4
Tottenham,24,31.0,51,342,129,37.7,11.03,4.16,0.14,0.36,17.3,30,4,4,42.4,39.4,0.12,+8.6,+7.6
West Brom,30,31.0,27,264,87,33.0,8.52,2.81,0.09,0.28,17.6,12,3,3,25.6,23.3,0.09,+1.4,+0.7
West Ham,24,31.0,49,356,129,36.2,11.48,4.16,0.13,0.37,14.9,13,1,2,42.6,40.9,0.12,+6.4,+7.1
Wolves,26,31.0,29,367,118,32.2,11.84,3.81,0.07,0.21,17.5,12,4,4,32.9,29.9,0.08,-3.9,-4.9
