Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG
Arsenal,29,38.0,632,16.63,436,57,50,36,36,17,86,2.26,57,4,4,9,4,8,0
Aston Villa,28,38.0,763,20.08,549,80,36,27,54,16,69,1.82,46,7,5,4,4,2,1
Bournemouth,27,38.0,569,14.97,393,66,32,30,40,7,59,1.55,32,4,5,10,7,0,1
Brighton,25,38.0,708,18.63,512,69,42,35,32,14,64,1.68,39,8,5,2,5,1,4
Burnley,22,38.0,570,15.00,392,66,26,36,35,14,66,1.74,43,8,3,5,2,4,1
Chelsea,27,38.0,991,26.08,739,86,53,46,54,13,110,2.89,76,6,8,8,10,2,0
Crystal Palace,25,38.0,534,14.05,342,64,51,22,41,12,54,1.42,35,4,5,2,6,0,2
Everton,24,38.0,706,18.58,457,83,46,54,43,21,66,1.74,43,5,5,8,2,1,2
Leicester City,24,38.0,877,23.08,625,77,64,40,52,17,114,3.00,87,5,7,2,7,4,2
Liverpool,24,38.0,915,24.08,674,72,73,37,39,18,140,3.68,95,10,14,8,9,2,2
Manchester City,24,38.0,1229,32.34,939,63,94,62,54,17,168,4.42,116,6,14,12,14,6,0
Manchester Utd,29,38.0,907,23.87,701,53,56,27,57,11,104,2.74,76,4,8,1,11,2,2
Newcastle Utd,28,38.0,596,15.68,417,60,45,30,31,13,61,1.61,40,6,3,6,3,3,0
Norwich City,30,38.0,652,17.16,467,50,48,37,33,16,39,1.03,27,2,3,2,1,3,1
Sheffield Utd,26,38.0,553,14.55,402,61,34,28,17,8,59,1.55,42,2,5,6,1,0,3
Southampton,25,38.0,745,19.61,496,67,62,39,53,28,71,1.87,38,4,10,8,8,3,0
Tottenham,29,38.0,711,18.71,530,42,54,31,35,17,89,2.34,55,3,12,12,3,2,2
Watford,26,38.0,642,16.89,445,54,42,35,42,24,53,1.39,30,4,2,4,8,5,0
West Ham,29,38.0,661,17.39,471,73,40,28,41,8,82,2.16,54,7,6,6,9,0,0
Wolves,21,38.0,707,18.61,477,63,70,32,42,21,87,2.29,48,8,8,8,8,5,2
