Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG
Arsenal,28,38.0,773,20.34,609,46,47,31,22,15,122,3.21,95,6,5,5,7,1,3
Bournemouth,28,38.0,669,17.61,484,63,40,28,43,10,98,2.58,64,7,7,6,10,3,1
Brighton,21,38.0,590,15.53,397,77,34,34,40,8,55,1.45,29,9,2,7,7,1,0
Burnley,23,38.0,528,13.89,346,79,17,39,38,7,67,1.76,42,10,1,9,2,1,2
Cardiff City,25,38.0,574,15.11,376,77,35,40,37,8,52,1.37,35,4,3,7,2,0,1
Chelsea,24,38.0,1018,26.79,801,57,55,39,52,13,115,3.03,81,7,10,7,8,1,1
Crystal Palace,26,38.0,779,20.50,542,68,63,46,44,13,90,2.37,51,6,6,8,13,3,3
Everton,23,38.0,739,19.45,486,83,52,51,51,15,82,2.16,55,4,10,9,2,1,1
Fulham,28,38.0,712,18.74,540,58,48,37,20,8,61,1.61,42,3,7,5,3,0,1
Huddersfield,31,38.0,589,15.50,415,66,24,30,32,20,35,0.92,23,5,0,2,2,1,2
Leicester City,25,38.0,779,20.50,544,75,52,43,42,22,84,2.21,56,2,8,6,9,2,1
Liverpool,23,38.0,912,24.00,667,69,70,46,38,19,146,3.84,99,9,11,10,11,3,3
Manchester City,21,38.0,1093,28.76,833,68,76,57,41,15,164,4.32,128,6,10,5,9,3,3
Manchester Utd,28,38.0,854,22.47,642,54,53,40,50,15,112,2.95,75,4,11,10,10,2,0
Newcastle Utd,24,38.0,633,16.66,454,61,39,28,32,18,61,1.61,43,5,0,8,2,2,1
Southampton,30,38.0,725,19.08,496,66,45,50,46,21,69,1.82,49,0,3,5,7,4,1
Tottenham,28,38.0,844,22.21,603,72,61,47,43,18,103,2.71,68,8,8,11,8,0,0
Watford,25,38.0,651,17.13,465,53,44,30,41,17,83,2.18,53,8,12,4,3,2,1
West Ham,26,38.0,683,17.97,478,75,31,45,36,17,82,2.16,54,6,4,9,7,1,1
Wolves,21,38.0,702,18.47,516,60,40,38,33,14,82,2.16,58,6,3,6,8,0,1
